date,open,high,low,close,volume,marcap
2023-01-12,713.56,714.1,707.54,710.82,1246163428,330354754662007
2023-01-13,712.24,714.75,709.26,711.82,1082281898,330987809068553
2023-01-16,714.71,718.15,713.19,716.89,1230665863,333362222147532
2023-01-17,716.7,718.9,708.54,709.71,1162082903,330058542928887
2023-01-18,711.12,713.28,708.79,711.75,1175236186,331005187288778
2023-01-19,707.66,712.94,705.76,712.89,1008732586,331969248601759
2023-01-20,712.32,718.03,712.32,717.97,1006210961,334506823768744
2023-01-25,725.23,732.42,725.23,732.35,1016337377,341163277030754
2023-01-26,734.37,740.99,733.23,738.94,1207458460,344416794892032
2023-01-27,741.2,742.07,737.9,741.25,1135404760,345741980309055
2023-01-30,743.73,746.33,736.9,738.62,1050895012,344704325436817
2023-01-31,735.19,740.98,732.33,740.49,975258796,345558866757648
2023-02-01,744.9,752.5,744.03,750.96,1065396559,350460923570265
2023-02-02,759.53,764.84,758.72,764.62,1220834721,356981668435985
2023-02-03,765.37,768.03,761.82,766.79,1136574420,358449971540544
2023-02-06,763.66,766.23,760.65,761.33,1185407618,355964477004747
2023-02-07,762.47,773.79,762.3,772.79,1261551684,361544964041108
2023-02-08,777.43,779.98,776.3,779.98,1461520222,364938932575631
2023-02-09,776.6,784.64,776.26,784.58,1411565323,367173795818580
2023-02-10,783.07,784.52,771.62,772.44,1309834875,361579872170428
2023-02-13,771.5,774.08,767.64,772.55,1198564825,361652493885227
2023-02-14,778.05,780.13,774.61,779.58,1273741863,364997188932796
2023-02-15,782.55,784.38,763.81,765.46,1416003278,358813760540798
2023-02-16,772.17,784.71,772.16,784.71,1242737840,368439501627773
2023-02-17,775.03,780.78,772.96,775.62,862495804,364469232408772
2023-02-20,777.68,789.26,773.86,788.89,889521303,370746475379803
2023-02-21,789.45,793.42,786.48,793.42,1020994847,372841940875971
2023-02-22,782.83,787.85,774.54,778.51,1125363718,365904573571717
2023-02-23,782.18,784.59,774.1,783.28,927833109,368151719875675
2023-02-24,784.94,786.09,774.21,778.88,1192537980,366037810529367
2023-02-27,775.01,781.54,769.75,780.3,1146531764,366628524556680
2023-02-28,784.23,793.65,783.66,791.6,1005903187,371912984933647
2023-03-02,793.63,797.01,786.52,787.19,1020089923,370075760790550
2023-03-03,792.9,802.45,792.61,802.42,1102273010,378059877027936
2023-03-06,810.61,816.62,804.47,816.51,1110188043,384639511424349
2023-03-07,814.27,818.56,810.47,815.76,1387403737,384474106386699
2023-03-08,809.14,817.17,807.95,813.95,1261649247,383607754458222
2023-03-09,817.03,817.12,801.1,809.22,1367967960,381522431004330
2023-03-10,796.57,798.96,785.66,788.6,1204572401,371906517641291
2023-03-13,784.02,789.18,771.03,788.89,1178495051,372176398769848
2023-03-14,788.44,789.22,758.05,758.05,1140138741,357461172609841
2023-03-15,774.53,784.59,773.65,781.17,1030708174,368139424343113
2023-03-16,780.53,785.54,767.11,781.98,1109314318,367720334540747
2023-03-17,791.18,798.62,785.98,797.39,1146052772,374945162115715
2023-03-20,793.04,803.42,791.45,802.2,1097773310,377052534644858
2023-03-21,806.51,809.33,802.42,802.53,1062910296,377289756737026
2023-03-22,811.17,813.43,807.91,813.43,1117238787,382341032320615
2023-03-23,807.53,824.2,806.4,812.19,1177436814,381704111823252
2023-03-24,820.16,824.11,814.07,824.11,1292725293,386895184121892
2023-03-27,827.95,829.18,817.81,827.69,1176552750,388588093717020
2023-03-28,831.07,833.68,825.4,833.51,1222376505,391491400113686
2023-03-29,833.9,843.94,832.44,843.94,1309614395,396799314710996
2023-03-30,850.78,852.59,846.1,850.48,1502135159,400365537565452
2023-03-31,849.98,851.13,842.61,847.52,1282318439,399097446427679
2023-04-03,850.86,855.2,847.7,854.96,1145928489,402741110536531
2023-04-04,853.92,861.13,852.02,857.18,1310437645,403961765614704
2023-04-05,857.54,872.44,856.15,872.36,1500672632,411050883520240
2023-04-06,869.65,869.94,859.13,865.58,1418014429,408022459534572
2023-04-07,871.83,880.07,866.58,880.07,1669012618,414870489420584
2023-04-10,882.75,890.96,877.31,887.78,1590085779,418754179964574
2023-04-11,893.2,899.37,879.73,898.94,1555495545,425634975713436
2023-04-12,897.11,900.83,888.63,890.62,1987419195,421877162148019
2023-04-13,885.5,895.29,875.42,894.25,1698995237,423574251022428
2023-04-14,902.56,906.69,900.7,903.84,1463219786,428656711360164
2023-04-17,905.35,909.5,898.84,909.5,1543775299,431395913487050
2023-04-18,910.75,910.75,902.9,909.02,1973947340,431287161226592
2023-04-19,908.87,913.97,907.59,909.2,1878192262,430184410576079
2023-04-20,905.81,906.0,884.33,885.71,2324112321,419231110265497
2023-04-21,884.27,888.21,868.36,868.82,2021045955,411902039051204
2023-04-24,867.38,870.08,852.48,855.23,1308672542,405538682580775
2023-04-25,857.54,858.91,828.25,838.71,1540091899,397824367613523
2023-04-26,835.94,846.42,829.19,830.44,1260644962,394071418199052
2023-04-27,831.89,850.88,823.19,850.21,1461893463,403491546416466
2023-04-28,860.11,860.11,839.67,842.83,1157792081,401309247871832
2023-05-02,845.18,855.61,844.68,855.61,1031526536,406823810826825
2023-05-03,848.05,852.23,841.81,843.18,1172736399,401047065132996
2023-05-04,842.13,847.69,839.08,845.06,1185031376,402231442046667
2023-05-08,851.52,854.32,842.07,842.28,1267793826,400978834907052
2023-05-09,841.41,843.4,827.78,835.85,1176449933,397912770736515
2023-05-10,836.02,839.86,827.88,829.74,1319935509,395234782269020
2023-05-11,836.6,840.66,821.94,824.54,1751057901,392851021963899
2023-05-12,824.11,828.14,820.24,822.43,1689715968,391877219766128
2023-05-15,820.5,820.5,806.47,814.53,1279890362,388206484427628
2023-05-16,818.96,822.64,813.32,816.75,1373516422,389297675536962
2023-05-17,815.58,834.2,814.65,834.19,1270384258,397733210799111
2023-05-18,839.27,841.1,833.73,835.89,1324825944,398516466299375
2023-05-19,839.56,842.21,836.68,841.72,1310478449,401619667898589
2023-05-22,840.97,852.33,837.49,852.04,1093157114,406363100428462
2023-05-23,853.57,861.3,853.57,859.16,1270087198,409997583196510
2023-05-24,856.25,857.84,853.0,855.46,1150652782,409368563614244
2023-05-25,857.3,860.01,845.84,847.72,1253501257,405817262001947
2023-05-26,849.8,853.06,842.17,843.23,1181354772,404185880967502
